ID,x0,y0,Label,Num channels,Feat0,Feat1,Feat2
0,0,400,None,3,80,125,65
1,0,1024,None,3,109,102,45
2,0,1679,None,3,108,149,60
3,1,458,None,3,96,183,76
4,1,636,None,3,102,183,78
5,1,653,None,3,107,182,86
6,1,741,None,3,105,171,72
7,1,1127,None,3,80,179,189
8,1,1211,None,3,131,70,115
9,1,1848,None,3,72,176,171
10,2,220,None,3,95,153,60
11,2,325,None,3,107,162,64
12,2,1085,None,3,105,149,97
13,2,1133,None,3,87,121,122
14,2,1244,None,3,71,68,251
15,2,1265,None,3,76,110,255
16,2,1369,None,3,98,70,138
17,2,1397,None,3,109,179,75
18,3,1251,None,3,82,131,201
19,3,1517,None,3,108,170,67
20,4,1864,None,3,107,176,102
21,4,1932,None,3,104,176,73
22,5,1284,None,3,83,154,102
23,5,1974,None,3,110,190,82
24,6,1169,None,3,76,95,105
25,6,1185,None,3,70,55,149
26,6,1221,None,3,90,148,178
27,7,425,None,3,109,189,88
28,7,1201,None,3,87,154,226
29,7,1305,None,3,85,128,96
30,8,239,None,3,104,180,89
31,8,379,None,3,86,160,69
32,8,897,None,3,104,173,107
33,9,1233,None,3,83,178,199
34,9,1262,None,3,82,170,223
35,10,948,None,3,107,168,76
36,10,1156,None,3,93,151,112
37,10,1228,None,3,89,172,218
38,10,1623,None,3,178,152,147
39,11,1279,None,3,85,131,172
40,11,2042,None,3,104,180,89
41,12,663,None,3,105,179,97
42,12,1198,None,3,87,140,207
43,12,1546,None,3,110,185,86
44,13,1139,None,3,93,145,99
45,13,2031,None,3,98,160,89
46,14,1092,None,3,72,151,152
47,14,1566,None,3,101,142,68
48,16,353,None,3,90,172,112
49,16,706,None,3,106,164,78
50,16,837,None,3,108,168,100
51,16,1526,None,3,104,141,90
52,17,453,None,3,109,177,78
53,17,1001,None,3,111,177,81
54,17,1117,None,3,79,68,165
55,17,1242,None,3,91,162,147
56,17,1261,None,3,29,43,162
57,18,1056,None,3,97,61,89
58,18,1111,None,3,84,161,167
59,18,1208,None,3,90,153,122
60,19,905,None,3,108,193,122
61,19,1160,None,3,91,147,87
62,19,1187,None,3,84,162,178
63,19,1227,None,3,85,171,212
64,20,1126,None,3,83,152,139
65,20,1267,None,3,81,152,213
66,20,1286,None,3,87,146,208
67,20,2000,None,3,89,153,93
68,21,271,None,3,0,0,255
69,22,9,None,3,76,57,148
70,22,1308,None,3,89,164,94
71,23,1194,None,3,83,167,159
72,23,1635,None,3,95,168,98
73,24,701,None,3,106,179,87
74,24,1063,None,3,89,163,94
75,24,1107,None,3,38,42,192
76,24,1202,None,3,93,146,115
77,24,1215,None,3,84,149,149
78,25,1179,None,3,88,146,140
79,26,933,None,3,55,93,152
80,26,1123,None,3,80,142,133
81,26,1132,None,3,90,145,138
82,26,1166,None,3,100,158,88
83,27,1938,None,3,109,173,61
84,28,734,None,3,108,184,101
85,28,1088,None,3,88,192,179
86,28,1242,None,3,95,168,136
87,28,1274,None,3,90,166,158
88,28,1283,None,3,87,156,154
89,30,6,None,3,98,158,112
90,30,801,None,3,99,150,68
91,30,817,None,3,106,180,100
92,30,1067,None,3,94,168,104
93,30,1202,None,3,96,149,109
94,30,1207,None,3,87,178,152
95,30,1356,None,3,100,142,63
96,30,1752,None,3,175,163,252
